Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.D Agricultural Soils,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,5806.3,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.D Agricultural Soils,N₂O,Gg,,,,,,,,,,,,,,,,18.73,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.F Field Burning of Agricultural Residues,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,217.98,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.F Field Burning of Agricultural Residues,CH₄,Gg,,,,,,,,,,,,,,,,10.07,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.F Field Burning of Agricultural Residues,N₂O,Gg,,,,,,,,,,,,,,,,0.021,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,9431.07,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CH₄,Gg,,,,,,,,,,,,,,,,3.84,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CO₂,Gg,,,,,,,,,,,,,,,,9341.13,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,N₂O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.A Changes in Forest and Other Woody Biomass Stocks,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,452.25,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.A Changes in Forest and Other Woody Biomass Stocks,CO₂,Gg,,,,,,,,,,,,,,,,452.25,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,8978.82,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,CH₄,Gg,,,,,,,,,,,,,,,,3.84,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,CO₂,Gg,,,,,,,,,,,,,,,,8888.88,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,N₂O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,130.41,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,6. Waste,CH₄,Gg,,,,,,,,,,,,,,,,6.21,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,130.41,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,CH₄,Gg,,,,,,,,,,,,,,,,6.21,,,,,,,,,,
Afghanistan,Totals,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,3776.15946,,,,,,,,,,
Afghanistan,Totals,1. Energy,CH₄,Gg,,,,,,,,,,,,,,,,35.06076,,,,,,,,,,
Afghanistan,Totals,1. Energy,CO₂,Gg,,,,,,,,,,,,,,,,2910.04,,,,,,,,,,
Afghanistan,Totals,1. Energy,N₂O,Gg,,,,,,,,,,,,,,,,0.41885,,,,,,,,,,
Afghanistan,Totals,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,312.1554,,,,,,,,,,
Afghanistan,Totals,2. Industrial Processes,CO₂,Gg,,,,,,,,,,,,,,,,312.1554,,,,,,,,,,
Afghanistan,Totals,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,15109.3,,,,,,,,,,
Afghanistan,Totals,4. Agriculture,CH₄,Gg,,,,,,,,,,,,,,,,442.69,,,,,,,,,,
Afghanistan,Totals,4. Agriculture,N₂O,Gg,,,,,,,,,,,,,,,,18.751,,,,,,,,,,
Afghanistan,Totals,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,9431.07,,,,,,,,,,
Afghanistan,Totals,5. Land-Use Change and Forestry,CH₄,Gg,,,,,,,,,,,,,,,,3.84,,,,,,,,,,
Afghanistan,Totals,5. Land-Use Change and Forestry,CO₂,Gg,,,,,,,,,,,,,,,,9341.13,,,,,,,,,,
Afghanistan,Totals,5. Land-Use Change and Forestry,N₂O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
Afghanistan,Totals,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,130.41,,,,,,,,,,
Afghanistan,Totals,6. Waste,CH₄,Gg,,,,,,,,,,,,,,,,6.21,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions excluding LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,19328.02486,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions excluding LULUCF/LUCF,CH₄,Gg CO₂ equivalent,,,,,,,,,,,,,,,,10163.17596,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions excluding LULUCF/LUCF,CO₂,Gg CO₂ equivalent,,,,,,,,,,,,,,,,3222.1954,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions excluding LULUCF/LUCF,N₂O,Gg CO₂ equivalent,,,,,,,,,,,,,,,,5942.6535,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions including LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,28759.09486,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions including LULUCF/LUCF,CH₄,Gg,,,,,,,,,,,,,,,,487.80076,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions including LULUCF/LUCF,CO₂,Gg,,,,,,,,,,,,,,,,12563.3254,,,,,,,,,,
Afghanistan,Totals,Total GHG emissions including LULUCF/LUCF,N₂O,Gg,,,,,,,,,,,,,,,,19.19985,,,,,,,,,,
